REGIÓN,OTROS TERRITORIOS,PAÍS,Localización,EXIGE VISA CORTA DURACIÓN,EXIGE VISA A PASAPORTE DE SERVICIO,EXIGE VISA A PASAPORTE OFICIAL,EXIGE VISA A PASAPORTE DIPLOMÁTICO,CONDICIONES ESPECIALES,Identificador,FECHA
ÁFRICA OCCIDENTAL,NO,SANTO TOMÉ Y PRÍNCIPE,"(0.18636, 6.613081)",SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),157,01/10/2023
AMÉRICA CARIBE,NO,SAN VICENTE Y LAS GRANADINAS,"(12.984305, -61.287228)",NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),158,01/10/2023
ÁFRICA OCCIDENTAL,NO,SENEGAL,"(14.497401, -14.452362)",SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),159,01/10/2023
EUROPA ORIENTAL,NO,SERBIA,"(44.016521, 21.005859)",NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),160,01/10/2023
ÁFRICA DEL SUR,NO,SEYCHELLES,"(-4.679574, 55.491977)",SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),161,01/10/2023
ÁFRICA OCCIDENTAL,NO,SIERRA LEONA,"(8.460555, -11.779889)",SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),162,01/10/2023
SUDESTE ASIÁTICO,NO,SINGAPUR,"(1.352083, 103.819836)",NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),163,01/10/2023
ORIENTE MEDIO,NO,SIRIA,"(34.802075, 38.996815)",SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),164,01/10/2023
ÁFRICA ORIENTAL,NO,SOMALIA,"(5.152149, 46.199616)",SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),165,01/10/2023
ASIA DEL SUR,NO,SRI LANKA,"(7.873054, 80.771797)",SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),166,01/10/2023
ÁFRICA DEL SUR,NO,SUDÁFRICA,"(-30.559482, 22.937506)",SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),167,01/10/2023
ÁFRICA CENTRAL,NO,SUDÁN DEL SUR,"(6.876991, 31.306978)",SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),168,01/10/2023
ÁFRICA CENTRAL,NO,SUDÁN,"(12.862807, 30.217636)",SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),169,01/10/2023
EUROPA,NO,SUECIA,"(60.128161, 18.643501)",NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),170,01/10/2023
